Cena;Objeto;Texto Original (PT);Traducao (EN);Key sugerida
Level1;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/TextPause;PAUSA;;pausa
Level1;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Slides;New Text;;new_text
Level1;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Collisions;New Text;;new_text
Level1;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Time;New Text;;new_text
Level1;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Speed;New Text;;new_text
Level1;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Mode;New Text;;new_text
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Break;Travão;;travao
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Pausa;Pausa;;pausa
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Speed;Velocidade;;velocidade
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Break;Travão;;travao
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Pausa;Pausa;;pausa
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Speed;Velocidade;;velocidade
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Text_Countdown;Sample text;;sample_text
Level1;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Canvas/Text_Warning;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Btn_Restart/TextResume;REINICIAR;;reiniciar
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Txt_HazardWarning;MANTER DISTANCIA DAS PESSOAS;;manter_distancia_das_pessoas
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Icon_Warning;!;;
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextSlides;Deslizes: 0;;deslizes_0
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator (1);|;;
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextCollisions;Colisões: 0;;colisoes_0
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator;|;;
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextTime;00:00;;0000
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Restart/TextMenu;REINICIAR;;reiniciar
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Resume/TextResume;CONTINUAR;;continuar
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/TextPause;PAUSA;;pausa
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_NextLevel/TextMenu;PRÓXIMO;;proximo
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Repetir/TextMenu;REPETIR;;repetir
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Value;01:00;;0100
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Label;DESLIZES;;deslizes
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Value;01:00;;0100
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Label;COLISÕES;;colisoes
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Value;01:00;;0100
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Label;TEMPO;;tempo
Level2;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/EndGameMessage;NÍVEL CONCLUÍDO;;nivel_concluido
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_MainMenu/TextMenu;MENU PRINCIPAL;;menu_principal
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_Restart/TextMenu;REPETIR;;repetir
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningText;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningIcon;!;;
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Next/Text (TMP);PRÓXIMO;;proximo
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Restart/Text (TMP);REINICIAR;;reiniciar
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideValue;00;;00
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideLabel;DESLIZES;;deslizes
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionValue;00;;00
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionLabel;COLISÕES;;colisoes
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TimeValue;00:00;;0000
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TextLabel;TEMPO;;tempo
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/TitleText;NÍVEL CONCLUÍDO;;nivel_concluido
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Restart/Text _Restart;REINICIAR;;reiniciar
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Resume/Text_Resume;CONTINUAR;;continuar
Level2;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/TextPause;PAUSA;;pausa
Level2;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Slides;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Collisions;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Time;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Speed;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Mode;New Text;;new_text
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Break;Travão;;travao
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Pausa;Pausa;;pausa
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Speed;Velocidade;;velocidade
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Break;Travão;;travao
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Pausa;Pausa;;pausa
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Speed;Velocidade;;velocidade
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Text_Countdown;Sample text;;sample_text
Level2;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Canvas/Text_Warning;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Btn_Restart/TextResume;REINICIAR;;reiniciar
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Txt_HazardWarning;MANTER DISTANCIA DAS PESSOAS;;manter_distancia_das_pessoas
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Icon_Warning;!;;
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextSlides;Deslizes: 0;;deslizes_0
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator (1);|;;
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextCollisions;Colisões: 0;;colisoes_0
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator;|;;
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextTime;00:00;;0000
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Restart/TextMenu;REINICIAR;;reiniciar
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Resume/TextResume;CONTINUAR;;continuar
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/TextPause;PAUSA;;pausa
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_NextLevel/TextMenu;PRÓXIMO;;proximo
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Repetir/TextMenu;REPETIR;;repetir
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Value;01:00;;0100
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Label;DESLIZES;;deslizes
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Value;01:00;;0100
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Label;COLISÕES;;colisoes
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Value;01:00;;0100
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Label;TEMPO;;tempo
Level3;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/EndGameMessage;NÍVEL CONCLUÍDO;;nivel_concluido
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_MainMenu/TextMenu;MENU PRINCIPAL;;menu_principal
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_Restart/TextMenu;REPETIR;;repetir
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningText;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningIcon;!;;
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Next/Text (TMP);PRÓXIMO;;proximo
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Restart/Text (TMP);REINICIAR;;reiniciar
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideValue;00;;00
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideLabel;DESLIZES;;deslizes
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionValue;00;;00
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionLabel;COLISÕES;;colisoes
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TimeValue;00:00;;0000
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TextLabel;TEMPO;;tempo
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/TitleText;NÍVEL CONCLUÍDO;;nivel_concluido
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Restart/Text _Restart;REINICIAR;;reiniciar
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Resume/Text_Resume;CONTINUAR;;continuar
Level3;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/TextPause;PAUSA;;pausa
Level3;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Slides;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Collisions;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Time;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Speed;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Mode;New Text;;new_text
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Break;Travão;;travao
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Pausa;Pausa;;pausa
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Speed;Velocidade;;velocidade
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Break;Travão;;travao
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Pausa;Pausa;;pausa
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Speed;Velocidade;;velocidade
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Text_Countdown;Sample text;;sample_text
Level3;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Canvas/Text_Warning;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Btn_Restart/TextResume;REINICIAR;;reiniciar
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Txt_HazardWarning;MANTER DISTANCIA DAS PESSOAS;;manter_distancia_das_pessoas
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Icon_Warning;!;;
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextSlides;Deslizes: 0;;deslizes_0
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator (1);|;;
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextCollisions;Colisões: 0;;colisoes_0
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator;|;;
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextTime;00:00;;0000
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Restart/TextMenu;REINICIAR;;reiniciar
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Resume/TextResume;CONTINUAR;;continuar
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/TextPause;PAUSA;;pausa
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_NextLevel/TextMenu;PRÓXIMO;;proximo
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Repetir/TextMenu;REPETIR;;repetir
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/ButtonsRow/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Value;01:00;;0100
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Slide/Label;DESLIZES;;deslizes
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Value;01:00;;0100
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Collision/Label;COLISÕES;;colisoes
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Value;01:00;;0100
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/StatsContainer/Group_Time/Label;TEMPO;;tempo
Level4;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/EndGamePanel/GlassCard/EndGameMessage;NÍVEL CONCLUÍDO;;nivel_concluido
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_MainMenu/TextMenu;MENU PRINCIPAL;;menu_principal
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/Btn_Restart/TextMenu;REPETIR;;repetir
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningText;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/HazardPanel_VR/WarningIcon;!;;
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Next/Text (TMP);PRÓXIMO;;proximo
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_Restart/Text (TMP);REINICIAR;;reiniciar
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/ButtonContainerEnd/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideValue;00;;00
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/SlideBlock/SlideLabel;DESLIZES;;deslizes
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionValue;00;;00
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/CollisionBlock/CollisionLabel;COLISÕES;;colisoes
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TimeValue;00:00;;0000
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/StatsContainer/TimeBlock/TextLabel;TEMPO;;tempo
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/EndGamePanel_VR/TitleText;NÍVEL CONCLUÍDO;;nivel_concluido
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_MainMenu/Text (TMP);MENU PRINCIPAL;;menu_principal
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Restart/Text _Restart;REINICIAR;;reiniciar
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/ButtonContainer/Btn_Resume/Text_Resume;CONTINUAR;;continuar
Level4;PlayerManager_Interior/Wheelchair_VR/Canvas_VR/PausePanel_VR/TextPause;PAUSA;;pausa
Level4;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Slides;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Collisions;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Left/Text_Time;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Speed;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_VR/GUI/GUI_Right/Text_Mode;New Text;;new_text
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Break;Travão;;travao
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Pausa;Pausa;;pausa
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Speed;Velocidade;;velocidade
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/RightHandController/RightControllerVisuals/ControllerUI_Right/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Break;Travão;;travao
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Pausa;Pausa;;pausa
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Speed;Velocidade;;velocidade
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/LeftHandController/LeftControllerVisuals/ControllerUI_Left/Txt_Mover;Mover/Recentrar;;moverrecentrar
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Text_Countdown;Sample text;;sample_text
Level4;PlayerManager_Interior/Wheelchair_VR/XR Origin (VR)/Camera Offset/Main Camera/Canvas/Text_Warning;New Text;;new_text
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Btn_Restart/TextResume;REINICIAR;;reiniciar
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Txt_HazardWarning;MANTER DISTANCIA DAS PESSOAS;;manter_distancia_das_pessoas
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/Panel_Hazard/PauseCard/Icon_Warning;!;;
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextSlides;Deslizes: 0;;deslizes_0
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator (1);|;;
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextCollisions;Colisões: 0;;colisoes_0
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/Separator;|;;
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/HUD_TopBar/TextTime;00:00;;0000
Level5;PlayerManager_Interior/Wheelchair_PC/Canvas_PC/PausePanel/PauseCard/ButtonContainer/Btn_Menu/TextMenu;MENU PRINCIPAL;;menu_principal
